und_umls_cuii,umls_cui
C0007974,C0048878
C0003467,C0285351
C0007682,C0285351
C0151559,C0285351
C0004936,C0285351
C3179402,C0285351
C0599059,C1452916
C0021213,C0080809
C1450139,C0080809
C1152747,C2351523
C1152747,C2351523
C1149475,C2351523
C1149475,C2351523
C0027793,C2351523
C0020538,C0251691
C0007222,C0251691
C0007222,C0533939
C1519624,C0533939
C1153450,C0533939
C0030193,C0291812
C0030193,C0291812
C0021368,C0291812
C0021368,C0291812
C2261439,C0291812
C0014432,C0291812
C0683211,C0291812
C0152027,C0291812
C1566391,C0045669
C0016320,C0045669
C0021213,C0045669
C1450139,C0045669
C0234107,C0537688
C0234107,C0537688
C0242901,C0537688
C0027793,C0537688
C1152765,C0670049
C0027793,C0670049
C3178749,C0670049
C3159308,C0670049
C3159308,C0670049
C0030193,C0094855
C0007682,C0094855
C0020964,C0094855
C0301872,C0094855
C0683211,C0094855
C0152027,C0094855
C0021213,C0047114
C0033975,C0378456
C0007682,C0378456
C0151559,C0378456
C0234101,C0378456
C1152730,C0378456
C0027793,C0378456
C0004936,C0378456
C3179402,C0378456
C0006826,C0540351
C0014432,C0540351
C1150388,C0540351
C2257146,C0540351
C1150386,C0540351
C0005479,C0057238
C0027793,C0384016
C3178749,C0384016
C3159308,C0384016
C0001730,C0080812
C0021213,C0080812
C0001730,C0046840
C0021213,C0046840
C0599059,C0049416
C0678771,C0049416
C0014432,C1143661
C1150527,C1143661
C0234098,C0386263
C0234098,C0386263
C0544652,C0386263
C0544652,C0386263
C0027793,C0386263
C0030193,C0767380
C0030193,C0767380
C0021368,C0767380
C0021368,C0767380
C2261439,C0767380
C0014432,C0767380
C0683211,C0767380
C0152027,C0767380
C0030193,C0218316
C0030193,C0218316
C0007682,C0218316
C0151559,C0218316
C3179198,C0218316
C0683211,C0218316
